936  [main] INFO  org.linqs.psl.runtime.Runtime  - PSL Runtime Version 2.4.0-aad67da
7363 [main] INFO  org.linqs.psl.util.RandUtils  - Using random seed: 31702938
950321 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
950334 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
950746 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 39.210625, Violated Constraints: 0, Total Optimization Time: 408, Total Number of Iterations: 151
950747 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
950761 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
1010609 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 64.66294, Violated Constraints: 34, Total Optimization Time: 59564, Total Number of Iterations: 25001
1010610 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
1010623 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
1011041 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 39.138657, Violated Constraints: 0, Total Optimization Time: 414, Total Number of Iterations: 151
1011041 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
1011056 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
1070519 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 64.62549, Violated Constraints: 34, Total Optimization Time: 59182, Total Number of Iterations: 25001
1070519 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
1070533 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
1070914 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 39.119156, Violated Constraints: 0, Total Optimization Time: 378, Total Number of Iterations: 151
1070915 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
1070928 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
1131025 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 64.58585, Violated Constraints: 34, Total Optimization Time: 59817, Total Number of Iterations: 25001
1131026 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
1131039 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
1131410 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 39.094917, Violated Constraints: 0, Total Optimization Time: 369, Total Number of Iterations: 151
1131410 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
1131424 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
1190986 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 64.554214, Violated Constraints: 34, Total Optimization Time: 59262, Total Number of Iterations: 25001
1190986 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
1191000 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
1191389 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 39.075474, Violated Constraints: 0, Total Optimization Time: 386, Total Number of Iterations: 151
1191390 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
1191404 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
1251137 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 64.527596, Violated Constraints: 34, Total Optimization Time: 59422, Total Number of Iterations: 25001
1251137 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
1251151 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
1251529 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 39.05894, Violated Constraints: 0, Total Optimization Time: 376, Total Number of Iterations: 151
1251529 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
1251543 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
1312746 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 64.50477, Violated Constraints: 34, Total Optimization Time: 60934, Total Number of Iterations: 25001
1312746 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
1312778 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Beginning inference.
1313231 [main] INFO  org.linqs.psl.reasoner.Reasoner  - Final Objective: 39.04445, Violated Constraints: 0, Total Optimization Time: 447, Total Number of Iterations: 151
1313231 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Inference complete.
1313238 [main] INFO  org.linqs.psl.application.learning.weight.gradient.GradientDescent  - Gradient Descent Weight Learning Finished.
1313238 [main] INFO  org.linqs.psl.application.learning.weight.gradient.GradientDescent  - Final Model [0.17468406: PREDFRAME(A, B) >> VALFRAME(A, B) ^2, 0.23980314: PREDECONRATE(A, B) >> VALECONRATE(A, B) ^2, 0.24142542: PREDECONCHANGE(A, B) >> VALECONCHANGE(A, B) ^2, 0.00641351: PREDTYPE(E, B) >> VALTYPE(E, B) ^2, 0.00574736: PREDMACROTYPE(E, B) >> VALMACROTYPE(E, B) ^2, 0.103639774: PREDSPIN(E, B) >> VALSPIN(E, B) ^2, 0.014741298: ( VALSPIN(E, 'neg') & CONTAINS(A, E) ) >> VALECONCHANGE(A, 'better') ^2, 0.012979967: ( VALSPIN(E, 'neg') & CONTAINS(A, E) ) >> VALECONCHANGE(A, 'none') ^2, 0.014488787: ( VALSPIN(E, 'neg') & CONTAINS(A, E) ) >> VALECONCHANGE(A, 'same') ^2, 0.026908448: ( VALSPIN(E, 'neg') & CONTAINS(A, E) ) >> VALECONCHANGE(A, 'worse') ^2, 0.016640244: ( CONTAINS(A, E) & VALSPIN(E, 'neutral') ) >> VALECONCHANGE(A, 'better') ^2, 0.016293881: ( CONTAINS(A, E) & VALSPIN(E, 'neutral') ) >> VALECONCHANGE(A, 'none') ^2, 0.020884087: ( CONTAINS(A, E) & VALSPIN(E, 'neutral') ) >> VALECONCHANGE(A, 'same') ^2, 0.0155806: ( CONTAINS(A, E) & VALSPIN(E, 'neutral') ) >> VALECONCHANGE(A, 'worse') ^2, 0.032465987: ( CONTAINS(A, E) & VALSPIN(E, 'pos') ) >> VALECONCHANGE(A, 'better') ^2, 0.017917957: ( CONTAINS(A, E) & VALSPIN(E, 'pos') ) >> VALECONCHANGE(A, 'none') ^2, 0.016917562: ( CONTAINS(A, E) & VALSPIN(E, 'pos') ) >> VALECONCHANGE(A, 'same') ^2, 0.02246793: ( CONTAINS(A, E) & VALSPIN(E, 'pos') ) >> VALECONCHANGE(A, 'worse') ^2] 
1313239 [main] INFO  org.linqs.psl.application.learning.weight.gradient.GradientDescent  - Final Weight Learning Loss: 68.671265, Final Gradient Magnitude: 0.0065465695, Total optimization time: 1304937
1313239 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Writing results to Database.
1313592 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Results committed to database.
1313593 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Writing results to Database.
1313927 [main] INFO  org.linqs.psl.application.inference.InferenceApplication  - Results committed to database.
1313932 [main] INFO  org.linqs.psl.runtime.Runtime  - Learned Model:
1313933 [main] INFO  org.linqs.psl.runtime.Runtime  -    0.17468406: PREDFRAME(A, B) >> VALFRAME(A, B) ^2
1313933 [main] INFO  org.linqs.psl.runtime.Runtime  -    0.23980314: PREDECONRATE(A, B) >> VALECONRATE(A, B) ^2
1313933 [main] INFO  org.linqs.psl.runtime.Runtime  -    0.24142542: PREDECONCHANGE(A, B) >> VALECONCHANGE(A, B) ^2
1313933 [main] INFO  org.linqs.psl.runtime.Runtime  -    0.00641351: PREDTYPE(E, B) >> VALTYPE(E, B) ^2
1313933 [main] INFO  org.linqs.psl.runtime.Runtime  -    0.00574736: PREDMACROTYPE(E, B) >> VALMACROTYPE(E, B) ^2
1313933 [main] INFO  org.linqs.psl.runtime.Runtime  -    0.103639774: PREDSPIN(E, B) >> VALSPIN(E, B) ^2
1313933 [main] INFO  org.linqs.psl.runtime.Runtime  -    1.0 * VALFRAME(A, +B) = 1.0 .
1313933 [main] INFO  org.linqs.psl.runtime.Runtime  -    1.0 * VALECONRATE(A, +B) = 1.0 .
1313933 [main] INFO  org.linqs.psl.runtime.Runtime  -    1.0 * VALECONCHANGE(A, +B) = 1.0 .
1313934 [main] INFO  org.linqs.psl.runtime.Runtime  -    1.0 * VALTYPE(E, +B) = 1.0 .
1313934 [main] INFO  org.linqs.psl.runtime.Runtime  -    1.0 * VALMACROTYPE(E, +B) = 1.0 .
1313934 [main] INFO  org.linqs.psl.runtime.Runtime  -    1.0 * VALSPIN(E, +B) = 1.0 .
1313934 [main] INFO  org.linqs.psl.runtime.Runtime  -    VALTYPE(A, 'industry') >> VALMACROTYPE(A, 'none') .
1313934 [main] INFO  org.linqs.psl.runtime.Runtime  -    VALTYPE(A, 'government') >> VALMACROTYPE(A, 'none') .
1313934 [main] INFO  org.linqs.psl.runtime.Runtime  -    VALTYPE(A, 'personal') >> VALMACROTYPE(A, 'none') .
1313934 [main] INFO  org.linqs.psl.runtime.Runtime  -    VALTYPE(A, 'business') >> VALMACROTYPE(A, 'none') .
1313934 [main] INFO  org.linqs.psl.runtime.Runtime  -    VALTYPE(A, 'other') >> VALMACROTYPE(A, 'none') .
1313934 [main] INFO  org.linqs.psl.runtime.Runtime  -    ( HASTYPEANN(A) & VALMACROTYPE(A, 'jobs') ) >> VALTYPE(A, 'macro') .
1313934 [main] INFO  org.linqs.psl.runtime.Runtime  -    ( HASTYPEANN(A) & VALMACROTYPE(A, 'retail') ) >> VALTYPE(A, 'macro') .
1313934 [main] INFO  org.linqs.psl.runtime.Runtime  -    ( VALMACROTYPE(A, 'interest') & HASTYPEANN(A) ) >> VALTYPE(A, 'macro') .
1313934 [main] INFO  org.linqs.psl.runtime.Runtime  -    ( HASTYPEANN(A) & VALMACROTYPE(A, 'prices') ) >> VALTYPE(A, 'macro') .
1313934 [main] INFO  org.linqs.psl.runtime.Runtime  -    ( HASTYPEANN(A) & VALMACROTYPE(A, 'energy') ) >> VALTYPE(A, 'macro') .
1313934 [main] INFO  org.linqs.psl.runtime.Runtime  -    ( HASTYPEANN(A) & VALMACROTYPE(A, 'wages') ) >> VALTYPE(A, 'macro') .
1313934 [main] INFO  org.linqs.psl.runtime.Runtime  -    ( VALMACROTYPE(A, 'macro') & HASTYPEANN(A) ) >> VALTYPE(A, 'macro') .
1313934 [main] INFO  org.linqs.psl.runtime.Runtime  -    ( HASTYPEANN(A) & VALMACROTYPE(A, 'market') ) >> VALTYPE(A, 'macro') .
1313935 [main] INFO  org.linqs.psl.runtime.Runtime  -    ( VALMACROTYPE(A, 'currency') & HASTYPEANN(A) ) >> VALTYPE(A, 'macro') .
1313935 [main] INFO  org.linqs.psl.runtime.Runtime  -    ( HASTYPEANN(A) & VALMACROTYPE(A, 'housing') ) >> VALTYPE(A, 'macro') .
1313935 [main] INFO  org.linqs.psl.runtime.Runtime  -    ( HASTYPEANN(A) & VALMACROTYPE(A, 'other') ) >> VALTYPE(A, 'macro') .
1313935 [main] INFO  org.linqs.psl.runtime.Runtime  -    ( VALMACROTYPE(A, 'none') & HASTYPEANN(A) ) >> ( VALTYPE(A, 'business') | VALTYPE(A, 'industry') | VALTYPE(A, 'other') | VALTYPE(A, 'government') | VALTYPE(A, 'personal') ) .
1313935 [main] INFO  org.linqs.psl.runtime.Runtime  -    0.014741298: ( VALSPIN(E, 'neg') & CONTAINS(A, E) ) >> VALECONCHANGE(A, 'better') ^2
1313935 [main] INFO  org.linqs.psl.runtime.Runtime  -    0.012979967: ( VALSPIN(E, 'neg') & CONTAINS(A, E) ) >> VALECONCHANGE(A, 'none') ^2
1313935 [main] INFO  org.linqs.psl.runtime.Runtime  -    0.014488787: ( VALSPIN(E, 'neg') & CONTAINS(A, E) ) >> VALECONCHANGE(A, 'same') ^2
1313935 [main] INFO  org.linqs.psl.runtime.Runtime  -    0.026908448: ( VALSPIN(E, 'neg') & CONTAINS(A, E) ) >> VALECONCHANGE(A, 'worse') ^2
1313935 [main] INFO  org.linqs.psl.runtime.Runtime  -    0.016640244: ( CONTAINS(A, E) & VALSPIN(E, 'neutral') ) >> VALECONCHANGE(A, 'better') ^2
1313935 [main] INFO  org.linqs.psl.runtime.Runtime  -    0.016293881: ( CONTAINS(A, E) & VALSPIN(E, 'neutral') ) >> VALECONCHANGE(A, 'none') ^2
1313935 [main] INFO  org.linqs.psl.runtime.Runtime  -    0.020884087: ( CONTAINS(A, E) & VALSPIN(E, 'neutral') ) >> VALECONCHANGE(A, 'same') ^2
1313935 [main] INFO  org.linqs.psl.runtime.Runtime  -    0.0155806: ( CONTAINS(A, E) & VALSPIN(E, 'neutral') ) >> VALECONCHANGE(A, 'worse') ^2
1313936 [main] INFO  org.linqs.psl.runtime.Runtime  -    0.032465987: ( CONTAINS(A, E) & VALSPIN(E, 'pos') ) >> VALECONCHANGE(A, 'better') ^2
1313936 [main] INFO  org.linqs.psl.runtime.Runtime  -    0.017917957: ( CONTAINS(A, E) & VALSPIN(E, 'pos') ) >> VALECONCHANGE(A, 'none') ^2
1313936 [main] INFO  org.linqs.psl.runtime.Runtime  -    0.016917562: ( CONTAINS(A, E) & VALSPIN(E, 'pos') ) >> VALECONCHANGE(A, 'same') ^2
1313936 [main] INFO  org.linqs.psl.runtime.Runtime  -    0.02246793: ( CONTAINS(A, E) & VALSPIN(E, 'pos') ) >> VALECONCHANGE(A, 'worse') ^2
1314106 [main] INFO  org.linqs.psl.runtime.Runtime  - PSL Runtime Version 2.4.0-aad67da
1314719 [main] ERROR org.linqs.psl.database.rdbms.RDBMSInserter  - [SQLITE_CONSTRAINT_UNIQUE] A UNIQUE constraint failed (UNIQUE constraint failed: VALECONRATE_PREDICATE.UniqueStringID_0, VALECONRATE_PREDICATE.UniqueStringID_1, VALECONRATE_PREDICATE.partition_id)
Setting: excerpt_article
Adding predicates...
ValFrame
ValEconRate
ValEconChange
ValType
ValMacroType
ValSpin
PredFrame
PredEconRate
PredEconChange
PredType
PredMacroType
PredSpin
Contains
Precedes
HasTypeAnn

Adding rules...
1.0: PredFrame(A, B) >> ValFrame(A, B) ^2
1.0: PredEconRate(A, B) >> ValEconRate(A, B) ^2
1.0: PredEconChange(A, B) >> ValEconChange(A, B) ^2
1.0: PredType(E, B) >> ValType(E, B) ^2
1.0: PredMacroType(E, B) >> ValMacroType(E, B) ^2
1.0: PredSpin(E, B) >> ValSpin(E, B) ^2
ValFrame(A, +B) = 1 .
ValEconRate(A, +B) = 1 .
ValEconChange(A, +B) = 1 .
ValType(E, +B) = 1 .
ValMacroType(E, +B) = 1 .
ValSpin(E, +B) = 1 .
ValType(A, 'industry') >> ValMacroType(A, 'none') .
ValType(A, 'government') >> ValMacroType(A, 'none') .
ValType(A, 'personal') >> ValMacroType(A, 'none') .
ValType(A, 'business') >> ValMacroType(A, 'none') .
ValType(A, 'other') >> ValMacroType(A, 'none') .
HasTypeAnn(A) & ValMacroType(A, 'jobs') >> ValType(A, 'macro') .
HasTypeAnn(A) & ValMacroType(A, 'retail') >> ValType(A, 'macro') .
HasTypeAnn(A) & ValMacroType(A, 'interest') >> ValType(A, 'macro') .
HasTypeAnn(A) & ValMacroType(A, 'prices') >> ValType(A, 'macro') .
HasTypeAnn(A) & ValMacroType(A, 'energy') >> ValType(A, 'macro') .
HasTypeAnn(A) & ValMacroType(A, 'wages') >> ValType(A, 'macro') .
HasTypeAnn(A) & ValMacroType(A, 'macro') >> ValType(A, 'macro') .
HasTypeAnn(A) & ValMacroType(A, 'market') >> ValType(A, 'macro') .
HasTypeAnn(A) & ValMacroType(A, 'currency') >> ValType(A, 'macro') .
HasTypeAnn(A) & ValMacroType(A, 'housing') >> ValType(A, 'macro') .
HasTypeAnn(A) & ValMacroType(A, 'other') >> ValType(A, 'macro') .
HasTypeAnn(A) & ValMacroType(A, 'none') >>  ValType(A, 'industry') | ValType(A, 'government') | ValType(A, 'personal') | ValType(A, 'business') | ValType(A, 'other') .
1.0: Contains(A, E) & ValSpin(E, 'neg') >> ValEconChange(A, 'better') ^2
1.0: Contains(A, E) & ValSpin(E, 'neg') >> ValEconChange(A, 'none') ^2
1.0: Contains(A, E) & ValSpin(E, 'neg') >> ValEconChange(A, 'same') ^2
1.0: Contains(A, E) & ValSpin(E, 'neg') >> ValEconChange(A, 'worse') ^2
1.0: Contains(A, E) & ValSpin(E, 'neutral') >> ValEconChange(A, 'better') ^2
1.0: Contains(A, E) & ValSpin(E, 'neutral') >> ValEconChange(A, 'none') ^2
1.0: Contains(A, E) & ValSpin(E, 'neutral') >> ValEconChange(A, 'same') ^2
1.0: Contains(A, E) & ValSpin(E, 'neutral') >> ValEconChange(A, 'worse') ^2
1.0: Contains(A, E) & ValSpin(E, 'pos') >> ValEconChange(A, 'better') ^2
1.0: Contains(A, E) & ValSpin(E, 'pos') >> ValEconChange(A, 'none') ^2
1.0: Contains(A, E) & ValSpin(E, 'pos') >> ValEconChange(A, 'same') ^2
1.0: Contains(A, E) & ValSpin(E, 'pos') >> ValEconChange(A, 'worse') ^2

Adding data files for learn...
ValFrame_target.txt added to VALFRAME
ValFrame_truth.txt added to VALFRAME
ValEconRate_target.txt added to VALECONRATE
ValEconRate_truth.txt added to VALECONRATE
ValEconChange_truth.txt added to VALECONCHANGE
